account_value,date,daily_return
843401.4320272525,2022-10-04,
842593.8926764377,2022-10-05,-0.0009574792265573118
830136.9556452411,2022-10-06,-0.014784034324801576
812255.9091423344,2022-10-07,-0.02153987529564716
809588.3124092411,2022-10-10,-0.0032841826117461226
813916.274292786,2022-10-11,0.005345879896246686
813683.7307365726,2022-10-12,-0.0002857094317415543
837387.5895546268,2022-10-13,0.029131538363925236
831091.5566490482,2022-10-14,-0.007518660395871457
844590.4004600834,2022-10-17,0.016242306522114447
851911.4503334354,2022-10-18,0.00866816609490706
849885.6542061161,2022-10-19,-0.002377942128288568
848494.5437477421,2022-10-20,-0.001636820731694133
868056.4438789677,2022-10-21,0.02305483314579959
882457.9198387455,2022-10-24,0.016590483327816763
885252.7643898319,2022-10-25,0.0031671136812927436
892282.0227821659,2022-10-26,0.007940396997437205
898167.6209648441,2022-10-27,0.006596118752148161
921146.2225960087,2022-10-28,0.025583867748962152
921603.4221428226,2022-10-31,0.000496337644989131
917114.2857368778,2022-11-01,-0.004871006658706989
909397.6508949589,2022-11-02,-0.008414038426758141
908834.7392738651,2022-11-03,-0.0006189939247586151
915511.5955589603,2022-11-04,0.007346612091907678
926247.4844902348,2022-11-07,0.01172665532949324
939647.5147102665,2022-11-08,0.014467008487916821
926323.7080162357,2022-11-09,-0.014179579560894218
943884.1475380253,2022-11-10,0.018957130611928275
929584.1122139286,2022-11-11,-0.01515020181385196
924077.661049683,2022-11-14,-0.005923564195962072
916416.2364891361,2022-11-15,-0.00829088818340662
921460.4355934452,2022-11-16,0.005504266405878866
925795.4703453373,2022-11-17,0.004704526189559299
936223.4714439701,2022-11-18,0.011263828170106516
930826.701233704,2022-11-21,-0.005764403878854352
939167.952606995,2022-11-22,0.008961121723555676
942019.6870125126,2022-11-23,0.003036447738236303
949181.5868919682,2022-11-25,0.007602707223846483
936319.9440697025,2022-11-28,-0.013550244758097518
936129.6605614017,2022-11-29,-0.00020322488002733063
956524.7245720219,2022-11-30,0.021786580288877033
947679.2111442875,2022-12-01,-0.009247553356963256
947895.097969849,2022-12-02,0.00022780580498427128
939081.6419990849,2022-12-05,-0.009297923356329618
936715.3492821049,2022-12-06,-0.002519794457852109
938708.8486183475,2022-12-07,0.0021281804955695094
942174.4670341801,2022-12-08,0.0036918991665344514
932889.8841102909,2022-12-09,-0.009854420013222787
943563.4259727787,2022-12-12,0.011441373783002584
939525.7383659672,2022-12-13,-0.004279190455743653
934612.8596199345,2022-12-14,-0.005229105010552737
913825.2321785282,2022-12-15,-0.022241965994197477
906891.3568275761,2022-12-16,-0.007587747751746865
904933.5669487308,2022-12-19,-0.0021587920803367577
905268.6619118046,2022-12-20,0.00037029785976838703
917264.666909058,2022-12-21,0.0132513203007818
910871.9262321781,2022-12-22,-0.0069693523663368895
915518.7992027592,2022-12-23,0.005101565694095811
915886.3847740482,2022-12-27,0.0004015052138843789
907674.6766289066,2022-12-28,-0.008965858955494177
914426.5406196903,2022-12-29,0.007438638715646428
912965.4173057865,2022-12-30,-0.0015978575085032753
908111.1175545048,2023-01-03,-0.005317068597852304
