account_value,date,daily_return
832562.6470577702,2022-07-06,
841234.484103104,2022-07-07,0.010415837265795647
839217.7619145588,2022-07-08,-0.002397336565078345
833947.8449200062,2022-07-11,-0.00627955845754502
835103.659094933,2022-07-12,0.0013859549874339905
829312.1100930866,2022-07-13,-0.006935125883801185
830542.2274890407,2022-07-14,0.0014832984843498043
841735.8978945927,2022-07-15,0.013477545192847717
839656.8352922596,2022-07-18,-0.0024699702216971486
864015.4019443669,2022-07-19,0.029010145131050713
870181.0407166142,2022-07-20,0.00713602877723285
877016.4812378545,2022-07-21,0.007855193576282726
867267.4842896123,2022-07-22,-0.011116093205548516
866124.8267883916,2022-07-25,-0.0013175375785668964
856943.6025757451,2022-07-26,-0.010600347581180225
872636.3118958134,2022-07-27,0.01831241784511861
888320.0239395757,2022-07-28,0.017972793281646915
903363.034292664,2022-07-29,0.016934224094572015
902459.6901405262,2022-08-01,-0.0009999790979328127
898627.0547820972,2022-08-02,-0.004246877063098675
904427.7918617174,2022-08-03,0.006455110658811325
900682.0827159351,2022-08-04,-0.004141523711994721
902977.7102941592,2022-08-05,0.0025487656768987677
903283.3494237979,2022-08-08,0.0003384791519815966
903464.8403295596,2022-08-09,0.00020092355945400264
915056.602384003,2022-08-10,0.012830341079144825
913791.8357290347,2022-08-11,-0.0013821731373482304
924541.8814519962,2022-08-12,0.011764217300524349
928052.6255468448,2022-08-15,0.0037972796747023363
935433.6940359195,2022-08-16,0.007953286576529495
931022.0366567691,2022-08-17,-0.004716162574940341
931846.2975973209,2022-08-18,0.0008853291416297537
925679.5230459293,2022-08-19,-0.006617802278435891
909940.6641668399,2022-08-22,-0.01700249220950789
904221.3374990543,2022-08-23,-0.006285384193729149
906220.0870946964,2022-08-24,0.00221046497439481
916124.2416128238,2022-08-25,0.010929082966897985
888452.4032034,2022-08-26,-0.030205333679095725
885139.2665075382,2022-08-29,-0.003729109948845899
876366.7154821475,2022-08-30,-0.00991092741824029
870845.8963522037,2022-08-31,-0.006299667744577131
875752.9974798282,2022-09-01,0.005634867372263486
866017.7730154117,2022-09-02,-0.011116404388488266
861698.6494192203,2022-09-06,-0.004987338286548737
873888.153165253,2022-09-07,0.014145900953016932
879355.0787939151,2022-09-08,0.006255864218848606
887028.2896551212,2022-09-09,0.00872595274224186
892972.3896383365,2022-09-12,0.006701139132244016
858368.7963537296,2022-09-13,-0.03875102263645769
857251.6426519473,2022-09-14,-0.0013014845210215231
854577.0492986758,2022-09-15,-0.003119962937600751
851752.045163544,2022-09-16,-0.00330573368129905
855309.0210088809,2022-09-19,0.004176069626758538
848705.291547211,2022-09-20,-0.007720869649989748
836576.2802328189,2022-09-21,-0.014291193227133792
833896.0902608951,2022-09-22,-0.003203760416417678
820622.7690328677,2022-09-23,-0.01591723643154941
810955.5475439151,2022-09-26,-0.011780347625920506
806871.5926870425,2022-09-27,-0.0050359786911148285
823731.3106054385,2022-09-28,0.02089516853883744
812048.6268743594,2022-09-29,-0.014182638902596079
801579.2897543033,2022-09-30,-0.01289250024392441
822080.6677297672,2022-10-03,0.02557623211765847
